date,year,month,district_kr,population_1000s,waste_kg_per_capita_per_day,total_waste_tons_per_month,policy_period
2015-05-01,2015,5,광주시,410,0.346,4254.3,Pre-Policy
2015-05-01,2015,5,군포시,280,0.393,3299.2,Pre-Policy
2015-06-01,2015,6,수원시,1190,0.388,13840.1,Pre-Policy
2015-06-01,2015,6,용인시,1080,0.368,11926.5,Pre-Policy
2015-06-01,2015,6,성남시,940,0.38,10725.8,Pre-Policy
2015-06-01,2015,6,안산시,650,0.421,8214.8,Pre-Policy
2015-06-01,2015,6,안양시,570,0.361,6170.5,Pre-Policy
2015-06-01,2015,6,부천시,800,0.366,8788.4,Pre-Policy
2015-06-01,2015,6,고양시,1060,0.397,12610.4,Pre-Policy
2015-06-01,2015,6,남양주시,720,0.403,8695.4,Pre-Policy
2015-06-01,2015,6,화성시,890,0.411,10986.5,Pre-Policy
2015-06-01,2015,6,평택시,520,0.369,5763.2,Pre-Policy
2015-06-01,2015,6,의정부시,430,0.356,4596.3,Pre-Policy
2015-06-01,2015,6,파주시,480,0.381,5487.0,Pre-Policy
2015-06-01,2015,6,광명시,320,0.392,3762.4,Pre-Policy
2015-06-01,2015,6,광주시,410,0.391,4813.2,Pre-Policy
2015-06-01,2015,6,군포시,280,0.395,3318.8,Pre-Policy
2015-07-01,2015,7,수원시,1190,0.414,14773.4,Pre-Policy
2015-07-01,2015,7,용인시,1080,0.392,12715.7,Pre-Policy
2015-07-01,2015,7,성남시,940,0.414,11664.0,Pre-Policy
2015-07-01,2015,7,안산시,650,0.42,8185.5,Pre-Policy
2015-07-01,2015,7,안양시,570,0.376,6422.9,Pre-Policy
2015-07-01,2015,7,부천시,800,0.41,9846.9,Pre-Policy
2015-07-01,2015,7,고양시,1060,0.401,12741.1,Pre-Policy
2015-07-01,2015,7,남양주시,720,0.419,9041.2,Pre-Policy
2015-07-01,2015,7,화성시,890,0.393,10492.6,Pre-Policy
2015-07-01,2015,7,평택시,520,0.399,6218.0,Pre-Policy
2015-07-01,2015,7,의정부시,430,0.425,5477.9,Pre-Policy
2015-07-01,2015,7,파주시,480,0.446,6429.5,Pre-Policy
2015-07-01,2015,7,광명시,320,0.371,3559.0,Pre-Policy
2015-07-01,2015,7,광주시,410,0.428,5258.8,Pre-Policy
2015-07-01,2015,7,군포시,280,0.467,3919.7,Pre-Policy
2015-08-01,2015,8,수원시,1190,0.436,15567.5,Pre-Policy
2015-08-01,2015,8,용인시,1080,0.439,14217.3,Pre-Policy
2015-08-01,2015,8,성남시,940,0.412,11621.2,Pre-Policy
2015-08-01,2015,8,안산시,650,0.391,7626.8,Pre-Policy
2015-08-01,2015,8,안양시,570,0.401,6854.1,Pre-Policy
2015-08-01,2015,8,부천시,800,0.437,10476.4,Pre-Policy
2015-08-01,2015,8,고양시,1060,0.406,12916.3,Pre-Policy
2015-08-01,2015,8,남양주시,720,0.412,8905.9,Pre-Policy
2015-08-01,2015,8,화성시,890,0.399,10665.6,Pre-Policy
2015-08-01,2015,8,평택시,520,0.402,6277.5,Pre-Policy
2015-08-01,2015,8,의정부시,430,0.397,5121.3,Pre-Policy
2015-08-01,2015,8,파주시,480,0.404,5816.7,Pre-Policy
2015-08-01,2015,8,광명시,320,0.465,4461.6,Pre-Policy
2015-08-01,2015,8,광주시,410,0.369,4533.2,Pre-Policy
2015-08-01,2015,8,군포시,280,0.405,3406.1,Pre-Policy
2015-09-01,2015,9,수원시,1190,0.428,15280.5,Pre-Policy
2015-09-01,2015,9,용인시,1080,0.474,15352.0,Pre-Policy
2015-09-01,2015,9,성남시,940,0.415,11711.7,Pre-Policy
2015-09-01,2015,9,안산시,650,0.428,8336.4,Pre-Policy
2015-09-01,2015,9,안양시,570,0.497,8495.2,Pre-Policy
2015-09-01,2015,9,부천시,800,0.432,10360.1,Pre-Policy
2015-09-01,2015,9,고양시,1060,0.516,16406.5,Pre-Policy
2015-09-01,2015,9,남양주시,720,0.406,8764.7,Pre-Policy
2015-09-01,2015,9,화성시,890,0.467,12464.2,Pre-Policy
2015-09-01,2015,9,평택시,520,0.471,7346.4,Pre-Policy
2015-09-01,2015,9,의정부시,430,0.426,5491.1,Pre-Policy
2015-09-01,2015,9,파주시,480,0.359,5169.5,Pre-Policy
2015-09-01,2015,9,광명시,320,0.424,4067.8,Pre-Policy
2015-09-01,2015,9,광주시,410,0.463,5698.8,Pre-Policy
2015-09-01,2015,9,군포시,280,0.44,3695.6,Pre-Policy
2015-10-01,2015,10,수원시,1190,0.459,16383.9,Pre-Policy
2015-10-01,2015,10,용인시,1080,0.476,15422.9,Pre-Policy
2015-10-01,2015,10,성남시,940,0.432,12179.5,Pre-Policy
2015-10-01,2015,10,안산시,650,0.444,8655.6,Pre-Policy
2015-10-01,2015,10,안양시,570,0.444,7595.3,Pre-Policy
2015-10-01,2015,10,부천시,800,0.461,11068.9,Pre-Policy
2015-10-01,2015,10,고양시,1060,0.465,14801.1,Pre-Policy
2015-10-01,2015,10,남양주시,720,0.466,10059.9,Pre-Policy
2015-10-01,2015,10,화성시,890,0.454,12113.5,Pre-Policy
2015-10-01,2015,10,평택시,520,0.445,6948.7,Pre-Policy
2015-10-01,2015,10,의정부시,430,0.436,5625.4,Pre-Policy
2015-10-01,2015,10,파주시,480,0.447,6436.9,Pre-Policy
2015-10-01,2015,10,광명시,320,0.446,4282.5,Pre-Policy
2015-10-01,2015,10,광주시,410,0.475,5836.6,Pre-Policy
2015-10-01,2015,10,군포시,280,0.478,4011.5,Pre-Policy
2015-11-01,2015,11,수원시,1190,0.359,12828.7,Pre-Policy
2015-11-01,2015,11,용인시,1080,0.4,12952.5,Pre-Policy
2015-11-01,2015,11,성남시,940,0.38,10729.3,Pre-Policy
2015-11-01,2015,11,안산시,650,0.401,7814.7,Pre-Policy
2015-11-01,2015,11,안양시,570,0.389,6658.1,Pre-Policy
2015-11-01,2015,11,부천시,800,0.384,9213.6,Pre-Policy
2015-11-01,2015,11,고양시,1060,0.403,12814.1,Pre-Policy
2015-11-01,2015,11,남양주시,720,0.406,8775.7,Pre-Policy
2015-11-01,2015,11,화성시,890,0.391,10444.9,Pre-Policy
2015-11-01,2015,11,평택시,520,0.385,6013.4,Pre-Policy
2015-11-01,2015,11,의정부시,430,0.386,4985.7,Pre-Policy
2015-11-01,2015,11,파주시,480,0.379,5455.5,Pre-Policy
2015-11-01,2015,11,광명시,320,0.351,3370.9,Pre-Policy
2015-11-01,2015,11,광주시,410,0.41,5037.4,Pre-Policy
2015-11-01,2015,11,군포시,280,0.397,3338.3,Pre-Policy
2015-12-01,2015,12,수원시,1190,0.415,14819.2,Pre-Policy
2015-12-01,2015,12,용인시,1080,0.42,13593.3,Pre-Policy
2015-12-01,2015,12,성남시,940,0.446,12568.2,Pre-Policy
2015-12-01,2015,12,안산시,650,0.404,7870.3,Pre-Policy
2015-12-01,2015,12,안양시,570,0.428,7323.6,Pre-Policy
2015-12-01,2015,12,부천시,800,0.41,9836.2,Pre-Policy
2015-12-01,2015,12,고양시,1060,0.425,13522.4,Pre-Policy
2015-12-01,2015,12,남양주시,720,0.418,9020.8,Pre-Policy
2015-12-01,2015,12,화성시,890,0.378,10101.7,Pre-Policy
2015-12-01,2015,12,평택시,520,0.407,6351.8,Pre-Policy
2015-12-01,2015,12,의정부시,430,0.45,5800.6,Pre-Policy
2015-12-01,2015,12,파주시,480,0.443,6377.8,Pre-Policy
2015-12-01,2015,12,광명시,320,0.414,3972.1,Pre-Policy
2015-12-01,2015,12,광주시,410,0.422,5189.3,Pre-Policy
2015-12-01,2015,12,군포시,280,0.423,3555.2,Pre-Policy
2016-01-01,2016,1,수원시,1190,0.485,17299.9,Pre-Policy
2016-01-01,2016,1,용인시,1080,0.452,14641.7,Pre-Policy
2016-01-01,2016,1,성남시,940,0.458,12926.0,Pre-Policy
2016-01-01,2016,1,안산시,650,0.454,8850.7,Pre-Policy
2016-01-01,2016,1,안양시,570,0.439,7505.1,Pre-Policy
2016-01-01,2016,1,부천시,800,0.457,10957.4,Pre-Policy
2016-01-01,2016,1,고양시,1060,0.498,15847.3,Pre-Policy
2016-01-01,2016,1,남양주시,720,0.486,10502.6,Pre-Policy
2016-01-01,2016,1,화성시,890,0.472,12599.8,Pre-Policy
2016-01-01,2016,1,평택시,520,0.486,7587.5,Pre-Policy
2016-01-01,2016,1,의정부시,430,0.42,5416.4,Pre-Policy
2016-01-01,2016,1,파주시,480,0.391,5633.0,Pre-Policy
2016-01-01,2016,1,광명시,320,0.433,4153.7,Pre-Policy
2016-01-01,2016,1,광주시,410,0.485,5971.6,Pre-Policy
2016-01-01,2016,1,군포시,280,0.462,3877.6,Pre-Policy
2016-02-01,2016,2,수원시,1190,0.366,13051.7,Pre-Policy
2016-02-01,2016,2,용인시,1080,0.367,11876.1,Pre-Policy
2016-02-01,2016,2,성남시,940,0.4,11274.4,Pre-Policy
2016-02-01,2016,2,안산시,650,0.355,6924.4,Pre-Policy
2016-02-01,2016,2,안양시,570,0.387,6618.7,Pre-Policy
2016-02-01,2016,2,부천시,800,0.344,8254.5,Pre-Policy
2016-02-01,2016,2,고양시,1060,0.38,12098.7,Pre-Policy
2016-02-01,2016,2,남양주시,720,0.376,8113.4,Pre-Policy
2016-02-01,2016,2,화성시,890,0.358,9548.6,Pre-Policy
2016-02-01,2016,2,평택시,520,0.386,6026.9,Pre-Policy
2016-02-01,2016,2,의정부시,430,0.385,4971.2,Pre-Policy
2016-02-01,2016,2,파주시,480,0.358,5158.7,Pre-Policy
2016-02-01,2016,2,광명시,320,0.381,3656.2,Pre-Policy
2016-02-01,2016,2,광주시,410,0.412,5067.3,Pre-Policy
2016-02-01,2016,2,군포시,280,0.404,3394.7,Pre-Policy
2016-03-01,2016,3,수원시,1190,0.436,15565.3,Pre-Policy
2016-03-01,2016,3,용인시,1080,0.382,12386.8,Pre-Policy
2016-03-01,2016,3,성남시,940,0.404,11383.3,Pre-Policy
2016-03-01,2016,3,안산시,650,0.366,7130.2,Pre-Policy
2016-03-01,2016,3,안양시,570,0.387,6618.7,Pre-Policy
2016-03-01,2016,3,부천시,800,0.342,8203.2,Pre-Policy
2016-03-01,2016,3,고양시,1060,0.38,12083.6,Pre-Policy
2016-03-01,2016,3,남양주시,720,0.411,8870.1,Pre-Policy
2016-03-01,2016,3,화성시,890,0.401,10711.6,Pre-Policy
2016-03-01,2016,3,평택시,520,0.346,5390.5,Pre-Policy
2016-03-01,2016,3,의정부시,430,0.387,4997.8,Pre-Policy
2016-03-01,2016,3,파주시,480,0.338,4867.9,Pre-Policy
2016-03-01,2016,3,광명시,320,0.359,3443.0,Pre-Policy
2016-03-01,2016,3,광주시,410,0.38,4674.6,Pre-Policy
2016-03-01,2016,3,군포시,280,0.362,3039.9,Pre-Policy
2016-04-01,2016,4,수원시,1190,0.386,13779.5,Pre-Policy
2016-04-01,2016,4,용인시,1080,0.364,11790.9,Pre-Policy
2016-04-01,2016,4,성남시,940,0.364,10251.7,Pre-Policy
2016-04-01,2016,4,안산시,650,0.37,7215.7,Pre-Policy
2016-04-01,2016,4,안양시,570,0.36,6157.5,Pre-Policy
2016-04-01,2016,4,부천시,800,0.42,10070.2,Pre-Policy
2016-04-01,2016,4,고양시,1060,0.368,11688.8,Pre-Policy
2016-04-01,2016,4,남양주시,720,0.376,8123.4,Pre-Policy
2016-04-01,2016,4,화성시,890,0.398,10632.6,Pre-Policy
2016-04-01,2016,4,평택시,520,0.365,5696.1,Pre-Policy
2016-04-01,2016,4,의정부시,430,0.357,4608.6,Pre-Policy
2016-04-01,2016,4,파주시,480,0.359,5173.3,Pre-Policy
2016-04-01,2016,4,광명시,320,0.411,3944.1,Pre-Policy
2016-04-01,2016,4,광주시,410,0.394,4845.8,Pre-Policy
2016-04-01,2016,4,군포시,280,0.451,3792.3,Pre-Policy
2016-05-01,2016,5,수원시,1190,0.37,13217.2,Pre-Policy
2016-05-01,2016,5,용인시,1080,0.349,11316.9,Pre-Policy
2016-05-01,2016,5,성남시,940,0.354,9996.7,Pre-Policy
2016-05-01,2016,5,안산시,650,0.359,7003.0,Pre-Policy
2016-05-01,2016,5,안양시,570,0.421,7199.8,Pre-Policy
2016-05-01,2016,5,부천시,800,0.391,9386.0,Pre-Policy
2016-05-01,2016,5,고양시,1060,0.375,11924.2,Pre-Policy
2016-05-01,2016,5,남양주시,720,0.415,8961.5,Pre-Policy
2016-05-01,2016,5,화성시,890,0.358,9555.6,Pre-Policy
2016-05-01,2016,5,평택시,520,0.352,5498.4,Pre-Policy
2016-05-01,2016,5,의정부시,430,0.414,5337.3,Pre-Policy
2016-05-01,2016,5,파주시,480,0.356,5126.3,Pre-Policy
2016-05-01,2016,5,광명시,320,0.363,3488.8,Pre-Policy
2016-05-01,2016,5,광주시,410,0.362,4450.0,Pre-Policy
2016-05-01,2016,5,군포시,280,0.375,3147.0,Pre-Policy
2016-06-01,2016,6,수원시,1190,0.385,13745.3,Pre-Policy
2016-06-01,2016,6,용인시,1080,0.368,11936.5,Pre-Policy
2016-06-01,2016,6,성남시,940,0.374,10547.7,Pre-Policy
2016-06-01,2016,6,안산시,650,0.382,7456.7,Pre-Policy
2016-06-01,2016,6,안양시,570,0.388,6630.1,Pre-Policy
2016-06-01,2016,6,부천시,800,0.35,8409.1,Pre-Policy
2016-06-01,2016,6,고양시,1060,0.371,11795.7,Pre-Policy
2016-06-01,2016,6,남양주시,720,0.352,7593.9,Pre-Policy
2016-06-01,2016,6,화성시,890,0.348,9285.8,Pre-Policy
2016-06-01,2016,6,평택시,520,0.378,5900.4,Pre-Policy
2016-06-01,2016,6,의정부시,430,0.38,4898.4,Pre-Policy
2016-06-01,2016,6,파주시,480,0.37,5320.9,Pre-Policy
2016-06-01,2016,6,광명시,320,0.367,3526.2,Pre-Policy
2016-06-01,2016,6,광주시,410,0.36,4428.0,Pre-Policy
2016-06-01,2016,6,군포시,280,0.396,3322.3,Pre-Policy
2016-07-01,2016,7,수원시,1190,0.415,14815.7,Pre-Policy
2016-07-01,2016,7,용인시,1080,0.439,14215.0,Pre-Policy
2016-07-01,2016,7,성남시,940,0.349,9844.9,Pre-Policy
2016-07-01,2016,7,안산시,650,0.42,8199.4,Pre-Policy
2016-07-01,2016,7,안양시,570,0.411,7034.9,Pre-Policy
2016-07-01,2016,7,부천시,800,0.41,9851.7,Pre-Policy
2016-07-01,2016,7,고양시,1060,0.439,13950.7,Pre-Policy
2016-07-01,2016,7,남양주시,720,0.413,8918.9,Pre-Policy
2016-07-01,2016,7,화성시,890,0.395,10548.2,Pre-Policy
2016-07-01,2016,7,평택시,520,0.414,6458.7,Pre-Policy
2016-07-01,2016,7,의정부시,430,0.441,5684.8,Pre-Policy
2016-07-01,2016,7,파주시,480,0.425,6124.7,Pre-Policy
2016-07-01,2016,7,광명시,320,0.431,4141.4,Pre-Policy
2016-07-01,2016,7,광주시,410,0.356,4380.2,Pre-Policy
2016-07-01,2016,7,군포시,280,0.366,3077.6,Pre-Policy
2016-08-01,2016,8,수원시,1190,0.43,15348.4,Pre-Policy
2016-08-01,2016,8,용인시,1080,0.415,13443.4,Pre-Policy
2016-08-01,2016,8,성남시,940,0.402,11336.6,Pre-Policy
2016-08-01,2016,8,안산시,650,0.424,8275.5,Pre-Policy
2016-08-01,2016,8,안양시,570,0.39,6677.3,Pre-Policy
2016-08-01,2016,8,부천시,800,0.413,9909.4,Pre-Policy
2016-08-01,2016,8,고양시,1060,0.451,14336.0,Pre-Policy
2016-08-01,2016,8,남양주시,720,0.417,9011.2,Pre-Policy
2016-08-01,2016,8,화성시,890,0.391,10440.3,Pre-Policy
2016-08-01,2016,8,평택시,520,0.418,6523.1,Pre-Policy
2016-08-01,2016,8,의정부시,430,0.406,5243.6,Pre-Policy
2016-08-01,2016,8,파주시,480,0.425,6114.9,Pre-Policy
2016-08-01,2016,8,광명시,320,0.427,4096.1,Pre-Policy
2016-08-01,2016,8,광주시,410,0.394,4840.9,Pre-Policy
2016-08-01,2016,8,군포시,280,0.405,3402.0,Pre-Policy
2016-09-01,2016,9,수원시,1190,0.452,16125.3,Pre-Policy
2016-09-01,2016,9,용인시,1080,0.49,15891.3,Pre-Policy
2016-09-01,2016,9,성남시,940,0.487,13742.0,Pre-Policy
2016-09-01,2016,9,안산시,650,0.412,8033.8,Pre-Policy
2016-09-01,2016,9,안양시,570,0.427,7302.3,Pre-Policy
2016-09-01,2016,9,부천시,800,0.463,11111.3,Pre-Policy
2016-09-01,2016,9,고양시,1060,0.438,13917.2,Pre-Policy
2016-09-01,2016,9,남양주시,720,0.508,10980.1,Pre-Policy
2016-09-01,2016,9,화성시,890,0.462,12337.5,Pre-Policy
2016-09-01,2016,9,평택시,520,0.463,7226.6,Pre-Policy
2016-09-01,2016,9,의정부시,430,0.437,5632.3,Pre-Policy
2016-09-01,2016,9,파주시,480,0.515,7420.2,Pre-Policy
2016-09-01,2016,9,광명시,320,0.478,4584.7,Pre-Policy
2016-09-01,2016,9,광주시,410,0.423,5205.8,Pre-Policy
2016-09-01,2016,9,군포시,280,0.466,3917.7,Pre-Policy
2016-10-01,2016,10,수원시,1190,0.43,15338.0,Pre-Policy
2016-10-01,2016,10,용인시,1080,0.438,14198.9,Pre-Policy
2016-10-01,2016,10,성남시,940,0.401,11299.8,Pre-Policy
2016-10-01,2016,10,안산시,650,0.469,9145.3,Pre-Policy
2016-10-01,2016,10,안양시,570,0.4,6833.3,Pre-Policy
2016-10-01,2016,10,부천시,800,0.465,11169.5,Pre-Policy
2016-10-01,2016,10,고양시,1060,0.42,13347.7,Pre-Policy
2016-10-01,2016,10,남양주시,720,0.439,9471.8,Pre-Policy
2016-10-01,2016,10,화성시,890,0.384,10254.0,Pre-Policy
2016-10-01,2016,10,평택시,520,0.453,7073.1,Pre-Policy
2016-10-01,2016,10,의정부시,430,0.511,6589.6,Pre-Policy
2016-10-01,2016,10,파주시,480,0.425,6126.8,Pre-Policy
2016-10-01,2016,10,광명시,320,0.51,4897.5,Pre-Policy
2016-10-01,2016,10,광주시,410,0.448,5514.8,Pre-Policy
2016-10-01,2016,10,군포시,280,0.451,3787.2,Pre-Policy
2016-11-01,2016,11,수원시,1190,0.364,13012.5,Pre-Policy
2016-11-01,2016,11,용인시,1080,0.375,12157.2,Pre-Policy
2016-11-01,2016,11,성남시,940,0.367,10335.9,Pre-Policy
2016-11-01,2016,11,안산시,650,0.386,7530.5,Pre-Policy
2016-11-01,2016,11,안양시,570,0.334,5713.4,Pre-Policy
2016-11-01,2016,11,부천시,800,0.388,9315.1,Pre-Policy
2016-11-01,2016,11,고양시,1060,0.37,11777.9,Pre-Policy
2016-11-01,2016,11,남양주시,720,0.346,7481.7,Pre-Policy
2016-11-01,2016,11,화성시,890,0.37,9887.7,Pre-Policy
2016-11-01,2016,11,평택시,520,0.409,6378.1,Pre-Policy
2016-11-01,2016,11,의정부시,430,0.386,4973.3,Pre-Policy
2016-11-01,2016,11,파주시,480,0.373,5373.0,Pre-Policy
2016-11-01,2016,11,광명시,320,0.361,3462.0,Pre-Policy
2016-11-01,2016,11,광주시,410,0.372,4580.3,Pre-Policy
2016-11-01,2016,11,군포시,280,0.398,3340.9,Pre-Policy
2016-12-01,2016,12,수원시,1190,0.43,15368.1,Pre-Policy
2016-12-01,2016,12,용인시,1080,0.408,13219.4,Pre-Policy
2016-12-01,2016,12,성남시,940,0.435,12274.0,Pre-Policy
2016-12-01,2016,12,안산시,650,0.418,8158.8,Pre-Policy
2016-12-01,2016,12,안양시,570,0.444,7593.9,Pre-Policy
2016-12-01,2016,12,부천시,800,0.426,10212.5,Pre-Policy
2016-12-01,2016,12,고양시,1060,0.394,12540.7,Pre-Policy
2016-12-01,2016,12,남양주시,720,0.397,8576.8,Pre-Policy
2016-12-01,2016,12,화성시,890,0.416,11095.8,Pre-Policy
2016-12-01,2016,12,평택시,520,0.396,6180.5,Pre-Policy
2016-12-01,2016,12,의정부시,430,0.429,5536.8,Pre-Policy
2016-12-01,2016,12,파주시,480,0.418,6016.5,Pre-Policy
2016-12-01,2016,12,광명시,320,0.437,4198.2,Pre-Policy
2016-12-01,2016,12,광주시,410,0.43,5287.6,Pre-Policy
2016-12-01,2016,12,군포시,280,0.417,3501.3,Pre-Policy
2017-01-01,2017,1,수원시,1190,0.426,15200.3,Early Implementation
2017-01-01,2017,1,용인시,1080,0.433,14039.5,Early Implementation
2017-01-01,2017,1,성남시,940,0.447,12598.4,Early Implementation
2017-01-01,2017,1,안산시,650,0.452,8816.4,Early Implementation
2017-01-01,2017,1,안양시,570,0.425,7275.2,Early Implementation
2017-01-01,2017,1,부천시,800,0.435,10441.8,Early Implementation
2017-01-01,2017,1,고양시,1060,0.428,13596.7,Early Implementation
2017-01-01,2017,1,남양주시,720,0.472,10199.4,Early Implementation
2017-01-01,2017,1,화성시,890,0.466,12444.6,Early Implementation
2017-01-01,2017,1,평택시,520,0.492,7681.1,Early Implementation
2017-01-01,2017,1,의정부시,430,0.396,5108.3,Early Implementation
2017-01-01,2017,1,파주시,480,0.436,6276.3,Early Implementation
2017-01-01,2017,1,광명시,320,0.444,4267.0,Early Implementation
2017-01-01,2017,1,광주시,410,0.438,5391.3,Early Implementation
2017-01-01,2017,1,군포시,280,0.415,3485.4,Early Implementation
2017-02-01,2017,2,수원시,1190,0.353,12608.2,Early Implementation
2017-02-01,2017,2,용인시,1080,0.37,11982.4,Early Implementation
2017-02-01,2017,2,성남시,940,0.382,10763.4,Early Implementation
2017-02-01,2017,2,안산시,650,0.386,7520.2,Early Implementation
2017-02-01,2017,2,안양시,570,0.369,6310.9,Early Implementation
2017-02-01,2017,2,부천시,800,0.369,8858.3,Early Implementation
2017-02-01,2017,2,고양시,1060,0.414,13179.1,Early Implementation
2017-02-01,2017,2,남양주시,720,0.389,8392.3,Early Implementation
2017-02-01,2017,2,화성시,890,0.39,10403.3,Early Implementation
2017-02-01,2017,2,평택시,520,0.381,5939.7,Early Implementation
2017-02-01,2017,2,의정부시,430,0.383,4941.9,Early Implementation
2017-02-01,2017,2,파주시,480,0.394,5671.2,Early Implementation
2017-02-01,2017,2,광명시,320,0.374,3590.7,Early Implementation
2017-02-01,2017,2,광주시,410,0.364,4478.6,Early Implementation
2017-02-01,2017,2,군포시,280,0.38,3195.2,Early Implementation
2017-03-01,2017,3,수원시,1190,0.368,13131.3,Early Implementation
2017-03-01,2017,3,용인시,1080,0.386,12493.6,Early Implementation
2017-03-01,2017,3,성남시,940,0.392,11052.7,Early Implementation
2017-03-01,2017,3,안산시,650,0.391,7630.7,Early Implementation
