date,year,month,district,population_1000s,waste_kg_per_capita_per_day,total_waste_tons_per_month,policy_phase
2015-03-01,2015,3,강동구,450,0.411,5547.1,Phase 1: RFID Pilot
2015-03-01,2015,3,마포구,380,0.406,4630.4,Phase 1: RFID Pilot
2015-03-01,2015,3,영등포구,400,0.424,5089.6,Phase 1: RFID Pilot
2015-03-01,2015,3,양천구,470,0.416,5867.9,Phase 1: RFID Pilot
2015-03-01,2015,3,노원구,540,0.34,5504.1,Phase 1: RFID Pilot
2015-03-01,2015,3,은평구,490,0.383,5635.8,Phase 1: RFID Pilot
2015-03-01,2015,3,성북구,460,0.39,5381.2,Phase 1: RFID Pilot
2015-03-01,2015,3,관악구,520,0.383,5968.2,Phase 1: RFID Pilot
2015-03-01,2015,3,동작구,410,0.429,5280.5,Phase 1: RFID Pilot
2015-03-01,2015,3,종로구,160,0.338,1622.8,Phase 1: RFID Pilot
2015-03-01,2015,3,중구,140,0.374,1572.0,Phase 1: RFID Pilot
2015-03-01,2015,3,용산구,240,0.35,2519.8,Phase 1: RFID Pilot
2015-04-01,2015,4,강남구,550,0.463,7632.1,Phase 1: RFID Pilot
2015-04-01,2015,4,서초구,450,0.433,5845.5,Phase 1: RFID Pilot
2015-04-01,2015,4,송파구,670,0.43,8639.8,Phase 1: RFID Pilot
2015-04-01,2015,4,강동구,450,0.411,5552.0,Phase 1: RFID Pilot
2015-04-01,2015,4,마포구,380,0.401,4576.1,Phase 1: RFID Pilot
2015-04-01,2015,4,영등포구,400,0.372,4460.9,Phase 1: RFID Pilot
2015-04-01,2015,4,양천구,470,0.39,5498.8,Phase 1: RFID Pilot
2015-04-01,2015,4,노원구,540,0.383,6205.3,Phase 1: RFID Pilot
2015-04-01,2015,4,은평구,490,0.42,6179.0,Phase 1: RFID Pilot
2015-04-01,2015,4,성북구,460,0.408,5626.9,Phase 1: RFID Pilot
2015-04-01,2015,4,관악구,520,0.346,5403.8,Phase 1: RFID Pilot
2015-04-01,2015,4,동작구,410,0.424,5219.2,Phase 1: RFID Pilot
2015-04-01,2015,4,종로구,160,0.354,1697.0,Phase 1: RFID Pilot
2015-04-01,2015,4,중구,140,0.346,1452.9,Phase 1: RFID Pilot
2015-04-01,2015,4,용산구,240,0.381,2740.1,Phase 1: RFID Pilot
2015-05-01,2015,5,강남구,550,0.46,7583.6,Phase 1: RFID Pilot
2015-05-01,2015,5,서초구,450,0.468,6322.3,Phase 1: RFID Pilot
2015-05-01,2015,5,송파구,670,0.484,9725.6,Phase 1: RFID Pilot
2015-05-01,2015,5,강동구,450,0.378,5103.1,Phase 1: RFID Pilot
2015-05-01,2015,5,마포구,380,0.4,4560.8,Phase 1: RFID Pilot
2015-05-01,2015,5,영등포구,400,0.372,4459.7,Phase 1: RFID Pilot
2015-05-01,2015,5,양천구,470,0.385,5421.6,Phase 1: RFID Pilot
2015-05-01,2015,5,노원구,540,0.376,6089.2,Phase 1: RFID Pilot
2015-05-01,2015,5,은평구,490,0.365,5362.5,Phase 1: RFID Pilot
2015-05-01,2015,5,성북구,460,0.408,5632.1,Phase 1: RFID Pilot
2015-05-01,2015,5,관악구,520,0.396,6184.9,Phase 1: RFID Pilot
2015-05-01,2015,5,동작구,410,0.371,4567.8,Phase 1: RFID Pilot
2015-05-01,2015,5,종로구,160,0.364,1747.5,Phase 1: RFID Pilot
2015-05-01,2015,5,중구,140,0.323,1358.1,Phase 1: RFID Pilot
2015-05-01,2015,5,용산구,240,0.365,2629.7,Phase 1: RFID Pilot
2015-06-01,2015,6,강남구,550,0.458,7556.9,Phase 1: RFID Pilot
2015-06-01,2015,6,서초구,450,0.436,5886.2,Phase 1: RFID Pilot
2015-06-01,2015,6,송파구,670,0.449,9030.6,Phase 1: RFID Pilot
2015-06-01,2015,6,강동구,450,0.443,5974.7,Phase 1: RFID Pilot
2015-06-01,2015,6,마포구,380,0.382,4357.4,Phase 1: RFID Pilot
2015-06-01,2015,6,영등포구,400,0.388,4651.4,Phase 1: RFID Pilot
2015-06-01,2015,6,양천구,470,0.417,5884.0,Phase 1: RFID Pilot
2015-06-01,2015,6,노원구,540,0.403,6522.9,Phase 1: RFID Pilot
2015-06-01,2015,6,은평구,490,0.412,6052.2,Phase 1: RFID Pilot
2015-06-01,2015,6,성북구,460,0.39,5385.0,Phase 1: RFID Pilot
2015-06-01,2015,6,관악구,520,0.358,5588.0,Phase 1: RFID Pilot
2015-06-01,2015,6,동작구,410,0.402,4948.1,Phase 1: RFID Pilot
2015-06-01,2015,6,종로구,160,0.364,1746.0,Phase 1: RFID Pilot
2015-06-01,2015,6,중구,140,0.363,1526.6,Phase 1: RFID Pilot
2015-06-01,2015,6,용산구,240,0.367,2644.3,Phase 1: RFID Pilot
2015-07-01,2015,7,강남구,550,0.496,8190.5,Phase 1: RFID Pilot
2015-07-01,2015,7,서초구,450,0.473,6380.3,Phase 1: RFID Pilot
2015-07-01,2015,7,송파구,670,0.497,9986.6,Phase 1: RFID Pilot
2015-07-01,2015,7,강동구,450,0.45,6069.2,Phase 1: RFID Pilot
2015-07-01,2015,7,마포구,380,0.404,4605.8,Phase 1: RFID Pilot
2015-07-01,2015,7,영등포구,400,0.44,5283.4,Phase 1: RFID Pilot
2015-07-01,2015,7,양천구,470,0.43,6058.1,Phase 1: RFID Pilot
2015-07-01,2015,7,노원구,540,0.426,6902.9,Phase 1: RFID Pilot
2015-07-01,2015,7,은평구,490,0.401,5898.4,Phase 1: RFID Pilot
2015-07-01,2015,7,성북구,460,0.428,5900.6,Phase 1: RFID Pilot
2015-07-01,2015,7,관악구,520,0.432,6739.8,Phase 1: RFID Pilot
2015-07-01,2015,7,동작구,410,0.477,5869.7,Phase 1: RFID Pilot
2015-07-01,2015,7,종로구,160,0.351,1686.5,Phase 1: RFID Pilot
2015-07-01,2015,7,중구,140,0.403,1691.7,Phase 1: RFID Pilot
2015-07-01,2015,7,용산구,240,0.439,3160.5,Phase 1: RFID Pilot
2015-08-01,2015,8,강남구,550,0.521,8601.4,Phase 1: RFID Pilot
2015-08-01,2015,8,서초구,450,0.524,7077.0,Phase 1: RFID Pilot
2015-08-01,2015,8,송파구,670,0.494,9925.7,Phase 1: RFID Pilot
2015-08-01,2015,8,강동구,450,0.419,5658.8,Phase 1: RFID Pilot
2015-08-01,2015,8,마포구,380,0.429,4892.6,Phase 1: RFID Pilot
2015-08-01,2015,8,영등포구,400,0.465,5578.5,Phase 1: RFID Pilot
2015-08-01,2015,8,양천구,470,0.434,6119.8,Phase 1: RFID Pilot
2015-08-01,2015,8,노원구,540,0.419,6790.7,Phase 1: RFID Pilot
2015-08-01,2015,8,은평구,490,0.406,5968.2,Phase 1: RFID Pilot
2015-08-01,2015,8,성북구,460,0.431,5947.9,Phase 1: RFID Pilot
2015-08-01,2015,8,관악구,520,0.404,6303.4,Phase 1: RFID Pilot
2015-08-01,2015,8,동작구,410,0.432,5314.6,Phase 1: RFID Pilot
2015-08-01,2015,8,종로구,160,0.435,2088.6,Phase 1: RFID Pilot
2015-08-01,2015,8,중구,140,0.349,1464.9,Phase 1: RFID Pilot
2015-08-01,2015,8,용산구,240,0.382,2751.1,Phase 1: RFID Pilot
2015-09-01,2015,9,강남구,550,0.553,9130.9,Phase 1: RFID Pilot
2015-09-01,2015,9,서초구,450,0.618,8341.1,Phase 1: RFID Pilot
2015-09-01,2015,9,송파구,670,0.536,10774.7,Phase 1: RFID Pilot
2015-09-01,2015,9,강동구,450,0.49,6611.7,Phase 1: RFID Pilot
2015-09-01,2015,9,마포구,380,0.574,6540.9,Phase 1: RFID Pilot
2015-09-01,2015,9,영등포구,400,0.505,6060.9,Phase 1: RFID Pilot
2015-09-01,2015,9,양천구,470,0.6,8457.1,Phase 1: RFID Pilot
2015-09-01,2015,9,노원구,540,0.444,7189.5,Phase 1: RFID Pilot
2015-09-01,2015,9,은평구,490,0.506,7433.6,Phase 1: RFID Pilot
2015-09-01,2015,9,성북구,460,0.548,7559.4,Phase 1: RFID Pilot
2015-09-01,2015,9,관악구,520,0.467,7289.7,Phase 1: RFID Pilot
2015-09-01,2015,9,동작구,410,0.413,5074.8,Phase 1: RFID Pilot
2015-09-01,2015,9,종로구,160,0.424,2033.2,Phase 1: RFID Pilot
2015-09-01,2015,9,중구,140,0.46,1932.4,Phase 1: RFID Pilot
2015-09-01,2015,9,용산구,240,0.448,3224.7,Phase 1: RFID Pilot
2015-10-01,2015,10,강남구,550,0.579,9549.8,Phase 1: RFID Pilot
2015-10-01,2015,10,서초구,450,0.612,8262.6,Phase 1: RFID Pilot
2015-10-01,2015,10,송파구,670,0.561,11276.5,Phase 1: RFID Pilot
2015-10-01,2015,10,강동구,450,0.507,6840.6,Phase 1: RFID Pilot
2015-10-01,2015,10,마포구,380,0.509,5797.8,Phase 1: RFID Pilot
2015-10-01,2015,10,영등포구,400,0.535,6417.4,Phase 1: RFID Pilot
2015-10-01,2015,10,양천구,470,0.525,7407.8,Phase 1: RFID Pilot
2015-10-01,2015,10,노원구,540,0.494,8002.0,Phase 1: RFID Pilot
2015-10-01,2015,10,은평구,490,0.5,7344.6,Phase 1: RFID Pilot
2015-10-01,2015,10,성북구,460,0.508,7013.7,Phase 1: RFID Pilot
2015-10-01,2015,10,관악구,520,0.474,7394.3,Phase 1: RFID Pilot
2015-10-01,2015,10,동작구,410,0.52,6399.4,Phase 1: RFID Pilot
2015-10-01,2015,10,종로구,160,0.447,2147.7,Phase 1: RFID Pilot
2015-10-01,2015,10,중구,140,0.481,2021.7,Phase 1: RFID Pilot
2015-10-01,2015,10,용산구,240,0.486,3502.0,Phase 1: RFID Pilot
2015-11-01,2015,11,강남구,550,0.42,6930.4,Phase 1: RFID Pilot
2015-11-01,2015,11,서초구,450,0.466,6287.1,Phase 1: RFID Pilot
2015-11-01,2015,11,송파구,670,0.444,8922.9,Phase 1: RFID Pilot
2015-11-01,2015,11,강동구,450,0.416,5621.6,Phase 1: RFID Pilot
2015-11-01,2015,11,마포구,380,0.405,4618.7,Phase 1: RFID Pilot
2015-11-01,2015,11,영등포구,400,0.4,4801.2,Phase 1: RFID Pilot
2015-11-01,2015,11,양천구,470,0.419,5908.9,Phase 1: RFID Pilot
2015-11-01,2015,11,노원구,540,0.401,6496.7,Phase 1: RFID Pilot
2015-11-01,2015,11,은평구,490,0.387,5683.0,Phase 1: RFID Pilot
2015-11-01,2015,11,성북구,460,0.401,5537.7,Phase 1: RFID Pilot
2015-11-01,2015,11,관악구,520,0.382,5965.4,Phase 1: RFID Pilot
2015-11-01,2015,11,동작구,410,0.395,4863.0,Phase 1: RFID Pilot
2015-11-01,2015,11,종로구,160,0.323,1548.5,Phase 1: RFID Pilot
2015-11-01,2015,11,중구,140,0.375,1573.2,Phase 1: RFID Pilot
2015-11-01,2015,11,용산구,240,0.364,2619.7,Phase 1: RFID Pilot
2015-12-01,2015,12,강남구,550,0.514,8488.0,Phase 1: RFID Pilot
2015-12-01,2015,12,서초구,450,0.521,7028.4,Phase 1: RFID Pilot
2015-12-01,2015,12,송파구,670,0.554,11137.3,Phase 1: RFID Pilot
2015-12-01,2015,12,강동구,450,0.449,6062.6,Phase 1: RFID Pilot
2015-12-01,2015,12,마포구,380,0.475,5410.2,Phase 1: RFID Pilot
2015-12-01,2015,12,영등포구,400,0.458,5492.6,Phase 1: RFID Pilot
2015-12-01,2015,12,양천구,470,0.472,6648.6,Phase 1: RFID Pilot
2015-12-01,2015,12,노원구,540,0.443,7172.2,Phase 1: RFID Pilot
2015-12-01,2015,12,은평구,490,0.397,5843.1,Phase 1: RFID Pilot
2015-12-01,2015,12,성북구,460,0.453,6255.1,Phase 1: RFID Pilot
2015-12-01,2015,12,관악구,520,0.48,7482.4,Phase 1: RFID Pilot
2015-12-01,2015,12,동작구,410,0.492,6048.0,Phase 1: RFID Pilot
2015-12-01,2015,12,종로구,160,0.403,1932.4,Phase 1: RFID Pilot
2015-12-01,2015,12,중구,140,0.413,1732.5,Phase 1: RFID Pilot
2015-12-01,2015,12,용산구,240,0.412,2966.7,Phase 1: RFID Pilot
2016-01-01,2016,1,강남구,550,0.6,9907.9,Phase 1: RFID Pilot
2016-01-01,2016,1,서초구,450,0.557,7519.7,Phase 1: RFID Pilot
2016-01-01,2016,1,송파구,670,0.561,11284.5,Phase 1: RFID Pilot
2016-01-01,2016,1,강동구,450,0.498,6723.5,Phase 1: RFID Pilot
2016-01-01,2016,1,마포구,380,0.479,5464.4,Phase 1: RFID Pilot
2016-01-01,2016,1,영등포구,400,0.503,6031.4,Phase 1: RFID Pilot
2016-01-01,2016,1,양천구,470,0.549,7737.3,Phase 1: RFID Pilot
2016-01-01,2016,1,노원구,540,0.503,8145.3,Phase 1: RFID Pilot
2016-01-01,2016,1,은평구,490,0.492,7230.6,Phase 1: RFID Pilot
2016-01-01,2016,1,성북구,460,0.529,7303.6,Phase 1: RFID Pilot
2016-01-01,2016,1,관악구,520,0.437,6815.7,Phase 1: RFID Pilot
2016-01-01,2016,1,동작구,410,0.43,5287.2,Phase 1: RFID Pilot
2016-01-01,2016,1,종로구,160,0.419,2010.9,Phase 1: RFID Pilot
2016-01-01,2016,1,중구,140,0.474,1989.6,Phase 1: RFID Pilot
2016-01-01,2016,1,용산구,240,0.444,3193.6,Phase 1: RFID Pilot
2016-02-01,2016,2,강남구,550,0.535,8826.6,Phase 1: RFID Pilot
2016-02-01,2016,2,서초구,450,0.55,7430.1,Phase 1: RFID Pilot
2016-02-01,2016,2,송파구,670,0.572,11494.5,Phase 1: RFID Pilot
2016-02-01,2016,2,강동구,450,0.472,6376.2,Phase 1: RFID Pilot
2016-02-01,2016,2,마포구,380,0.512,5838.8,Phase 1: RFID Pilot
2016-02-01,2016,2,영등포구,400,0.44,5282.4,Phase 1: RFID Pilot
2016-02-01,2016,2,양천구,470,0.492,6936.2,Phase 1: RFID Pilot
2016-02-01,2016,2,노원구,540,0.467,7565.3,Phase 1: RFID Pilot
2016-02-01,2016,2,은평구,490,0.438,6445.4,Phase 1: RFID Pilot
2016-02-01,2016,2,성북구,460,0.504,6955.8,Phase 1: RFID Pilot
2016-02-01,2016,2,관악구,520,0.461,7199.3,Phase 1: RFID Pilot
2016-02-01,2016,2,동작구,410,0.476,5850.5,Phase 1: RFID Pilot
2016-02-01,2016,2,종로구,160,0.426,2045.4,Phase 1: RFID Pilot
2016-02-01,2016,2,중구,140,0.468,1966.7,Phase 1: RFID Pilot
2016-02-01,2016,2,용산구,240,0.459,3305.9,Phase 1: RFID Pilot
2016-03-01,2016,3,강남구,550,0.502,8280.2,Phase 1: RFID Pilot
2016-03-01,2016,3,서초구,450,0.441,5960.1,Phase 1: RFID Pilot
2016-03-01,2016,3,송파구,670,0.466,9356.7,Phase 1: RFID Pilot
2016-03-01,2016,3,강동구,450,0.377,5095.7,Phase 1: RFID Pilot
2016-03-01,2016,3,마포구,380,0.398,4540.6,Phase 1: RFID Pilot
2016-03-01,2016,3,영등포구,400,0.353,4235.7,Phase 1: RFID Pilot
2016-03-01,2016,3,양천구,470,0.392,5524.5,Phase 1: RFID Pilot
2016-03-01,2016,3,노원구,540,0.401,6499.5,Phase 1: RFID Pilot
2016-03-01,2016,3,은평구,490,0.392,5760.7,Phase 1: RFID Pilot
2016-03-01,2016,3,성북구,460,0.357,4929.2,Phase 1: RFID Pilot
2016-03-01,2016,3,관악구,520,0.379,5914.2,Phase 1: RFID Pilot
2016-03-01,2016,3,동작구,410,0.35,4301.0,Phase 1: RFID Pilot
2016-03-01,2016,3,종로구,160,0.326,1564.8,Phase 1: RFID Pilot
2016-03-01,2016,3,중구,140,0.345,1446.9,Phase 1: RFID Pilot
2016-03-01,2016,3,용산구,240,0.328,2365.2,Phase 1: RFID Pilot
2016-04-01,2016,4,강남구,550,0.444,7332.6,Phase 1: RFID Pilot
2016-04-01,2016,4,서초구,450,0.42,5664.3,Phase 1: RFID Pilot
2016-04-01,2016,4,송파구,670,0.419,8418.8,Phase 1: RFID Pilot
2016-04-01,2016,4,강동구,450,0.38,5135.6,Phase 1: RFID Pilot
2016-04-01,2016,4,마포구,380,0.37,4223.0,Phase 1: RFID Pilot
2016-04-01,2016,4,영등포구,400,0.43,5162.4,Phase 1: RFID Pilot
2016-04-01,2016,4,양천구,470,0.378,5332.9,Phase 1: RFID Pilot
2016-04-01,2016,4,노원구,540,0.367,5950.3,Phase 1: RFID Pilot
2016-04-01,2016,4,은평구,490,0.389,5711.5,Phase 1: RFID Pilot
2016-04-01,2016,4,성북구,460,0.376,5183.5,Phase 1: RFID Pilot
2016-04-01,2016,4,관악구,520,0.349,5444.4,Phase 1: RFID Pilot
2016-04-01,2016,4,동작구,410,0.37,4552.8,Phase 1: RFID Pilot
2016-04-01,2016,4,종로구,160,0.371,1780.0,Phase 1: RFID Pilot
2016-04-01,2016,4,중구,140,0.356,1495.5,Phase 1: RFID Pilot
2016-04-01,2016,4,용산구,240,0.407,2929.1,Phase 1: RFID Pilot
2016-05-01,2016,5,강남구,550,0.425,7014.9,Phase 1: RFID Pilot
2016-05-01,2016,5,서초구,450,0.402,5426.2,Phase 1: RFID Pilot
2016-05-01,2016,5,송파구,670,0.407,8189.2,Phase 1: RFID Pilot
2016-05-01,2016,5,강동구,450,0.368,4974.4,Phase 1: RFID Pilot
2016-05-01,2016,5,마포구,380,0.431,4910.6,Phase 1: RFID Pilot
2016-05-01,2016,5,영등포구,400,0.401,4811.0,Phase 1: RFID Pilot
2016-05-01,2016,5,양천구,470,0.384,5419.5,Phase 1: RFID Pilot
2016-05-01,2016,5,노원구,540,0.403,6533.7,Phase 1: RFID Pilot
2016-05-01,2016,5,은평구,490,0.349,5130.8,Phase 1: RFID Pilot
2016-05-01,2016,5,성북구,460,0.362,4992.1,Phase 1: RFID Pilot
2016-05-01,2016,5,관악구,520,0.402,6278.6,Phase 1: RFID Pilot
2016-05-01,2016,5,동작구,410,0.366,4497.5,Phase 1: RFID Pilot
2016-05-01,2016,5,종로구,160,0.328,1575.0,Phase 1: RFID Pilot
2016-05-01,2016,5,중구,140,0.327,1371.9,Phase 1: RFID Pilot
2016-05-01,2016,5,용산구,240,0.338,2433.2,Phase 1: RFID Pilot
2016-06-01,2016,6,강남구,550,0.441,7272.1,Phase 1: RFID Pilot
2016-06-01,2016,6,서초구,450,0.422,5696.6,Phase 1: RFID Pilot
2016-06-01,2016,6,송파구,670,0.429,8614.4,Phase 1: RFID Pilot
2016-06-01,2016,6,강동구,450,0.391,5274.8,Phase 1: RFID Pilot
2016-06-01,2016,6,마포구,380,0.396,4518.4,Phase 1: RFID Pilot
2016-06-01,2016,6,영등포구,400,0.359,4307.7,Phase 1: RFID Pilot
2016-06-01,2016,6,양천구,470,0.38,5351.4,Phase 1: RFID Pilot
2016-06-01,2016,6,노원구,540,0.342,5536.7,Phase 1: RFID Pilot
2016-06-01,2016,6,은평구,490,0.338,4975.6,Phase 1: RFID Pilot
2016-06-01,2016,6,성북구,460,0.387,5334.7,Phase 1: RFID Pilot
2016-06-01,2016,6,관악구,520,0.369,5749.2,Phase 1: RFID Pilot
2016-06-01,2016,6,동작구,410,0.378,4647.0,Phase 1: RFID Pilot
2016-06-01,2016,6,종로구,160,0.331,1587.5,Phase 1: RFID Pilot
2016-06-01,2016,6,중구,140,0.324,1361.7,Phase 1: RFID Pilot
2016-06-01,2016,6,용산구,240,0.355,2559.2,Phase 1: RFID Pilot
2016-07-01,2016,7,강남구,550,0.483,7962.7,Phase 1: RFID Pilot
2016-07-01,2016,7,서초구,450,0.51,6880.6,Phase 1: RFID Pilot
2016-07-01,2016,7,송파구,670,0.407,8188.5,Phase 1: RFID Pilot
2016-07-01,2016,7,강동구,450,0.436,5892.2,Phase 1: RFID Pilot
2016-07-01,2016,7,마포구,380,0.427,4870.1,Phase 1: RFID Pilot
2016-07-01,2016,7,영등포구,400,0.426,5115.4,Phase 1: RFID Pilot
2016-07-01,2016,7,양천구,470,0.455,6415.8,Phase 1: RFID Pilot
2016-07-01,2016,7,노원구,540,0.407,6598.5,Phase 1: RFID Pilot
2016-07-01,2016,7,은평구,490,0.39,5733.6,Phase 1: RFID Pilot
2016-07-01,2016,7,성북구,460,0.43,5932.3,Phase 1: RFID Pilot
2016-07-01,2016,7,관악구,520,0.434,6773.5,Phase 1: RFID Pilot
2016-07-01,2016,7,동작구,410,0.441,5429.2,Phase 1: RFID Pilot
2016-07-01,2016,7,종로구,160,0.394,1890.6,Phase 1: RFID Pilot
2016-07-01,2016,7,중구,140,0.326,1370.7,Phase 1: RFID Pilot
2016-07-01,2016,7,용산구,240,0.336,2416.2,Phase 1: RFID Pilot
2016-08-01,2016,8,강남구,550,0.498,8221.7,Phase 1: RFID Pilot
2016-08-01,2016,8,서초구,450,0.481,6496.3,Phase 1: RFID Pilot
2016-08-01,2016,8,송파구,670,0.467,9377.5,Phase 1: RFID Pilot
2016-08-01,2016,8,강동구,450,0.439,5930.1,Phase 1: RFID Pilot
2016-08-01,2016,8,마포구,380,0.405,4614.2,Phase 1: RFID Pilot
2016-08-01,2016,8,영등포구,400,0.428,5131.1,Phase 1: RFID Pilot
2016-08-01,2016,8,양천구,470,0.466,6572.6,Phase 1: RFID Pilot
2016-08-01,2016,8,노원구,540,0.41,6647.6,Phase 1: RFID Pilot
2016-08-01,2016,8,은평구,490,0.385,5660.3,Phase 1: RFID Pilot
2016-08-01,2016,8,성북구,460,0.433,5974.8,Phase 1: RFID Pilot
2016-08-01,2016,8,관악구,520,0.4,6240.1,Phase 1: RFID Pilot
2016-08-01,2016,8,동작구,410,0.44,5406.4,Phase 1: RFID Pilot
2016-08-01,2016,8,종로구,160,0.389,1865.5,Phase 1: RFID Pilot
2016-08-01,2016,8,중구,140,0.359,1507.7,Phase 1: RFID Pilot
2016-08-01,2016,8,용산구,240,0.369,2658.2,Phase 1: RFID Pilot
2016-09-01,2016,9,강남구,550,0.558,9211.9,Phase 1: RFID Pilot
2016-09-01,2016,9,서초구,450,0.623,8411.6,Phase 1: RFID Pilot
2016-09-01,2016,9,송파구,670,0.623,12517.3,Phase 1: RFID Pilot
2016-09-01,2016,9,강동구,450,0.453,6118.4,Phase 1: RFID Pilot
2016-09-01,2016,9,마포구,380,0.486,5541.6,Phase 1: RFID Pilot
2016-09-01,2016,9,영등포구,400,0.517,6199.7,Phase 1: RFID Pilot
2016-09-01,2016,9,양천구,470,0.482,6793.9,Phase 1: RFID Pilot
2016-09-01,2016,9,노원구,540,0.54,8740.2,Phase 1: RFID Pilot
2016-09-01,2016,9,은평구,490,0.495,7271.2,Phase 1: RFID Pilot
2016-09-01,2016,9,성북구,460,0.519,7159.0,Phase 1: RFID Pilot
2016-09-01,2016,9,관악구,520,0.466,7274.5,Phase 1: RFID Pilot
2016-09-01,2016,9,동작구,410,0.584,7183.6,Phase 1: RFID Pilot
2016-09-01,2016,9,종로구,160,0.466,2236.9,Phase 1: RFID Pilot
2016-09-01,2016,9,중구,140,0.416,1746.2,Phase 1: RFID Pilot
2016-09-01,2016,9,용산구,240,0.464,3344.0,Phase 1: RFID Pilot
2016-10-01,2016,10,강남구,550,0.546,9013.6,Phase 1: RFID Pilot
2016-10-01,2016,10,서초구,450,0.544,7344.1,Phase 1: RFID Pilot
2016-10-01,2016,10,송파구,670,0.49,9840.6,Phase 1: RFID Pilot
2016-10-01,2016,10,강동구,450,0.523,7057.2,Phase 1: RFID Pilot
2016-10-01,2016,10,마포구,380,0.438,4995.4,Phase 1: RFID Pilot
2016-10-01,2016,10,영등포구,400,0.529,6344.1,Phase 1: RFID Pilot
2016-10-01,2016,10,양천구,470,0.459,6467.0,Phase 1: RFID Pilot
2016-10-01,2016,10,노원구,540,0.463,7494.8,Phase 1: RFID Pilot
2016-10-01,2016,10,은평구,490,0.407,5982.5,Phase 1: RFID Pilot
2016-10-01,2016,10,성북구,460,0.509,7030.4,Phase 1: RFID Pilot
2016-10-01,2016,10,관악구,520,0.547,8538.4,Phase 1: RFID Pilot
2016-10-01,2016,10,동작구,410,0.467,5749.5,Phase 1: RFID Pilot
2016-10-01,2016,10,종로구,160,0.5,2399.4,Phase 1: RFID Pilot
2016-10-01,2016,10,중구,140,0.439,1845.8,Phase 1: RFID Pilot
2016-10-01,2016,10,용산구,240,0.441,3176.7,Phase 1: RFID Pilot
2016-11-01,2016,11,강남구,550,0.412,6795.3,Phase 1: RFID Pilot
2016-11-01,2016,11,서초구,450,0.424,5722.0,Phase 1: RFID Pilot
2016-11-01,2016,11,송파구,670,0.414,8324.5,Phase 1: RFID Pilot
2016-11-01,2016,11,강동구,450,0.39,5258.6,Phase 1: RFID Pilot
2016-11-01,2016,11,마포구,380,0.337,3846.8,Phase 1: RFID Pilot
2016-11-01,2016,11,영등포구,400,0.391,4694.9,Phase 1: RFID Pilot
2016-11-01,2016,11,양천구,470,0.374,5267.8,Phase 1: RFID Pilot
2016-11-01,2016,11,노원구,540,0.332,5380.0,Phase 1: RFID Pilot
2016-11-01,2016,11,은평구,490,0.355,5218.6,Phase 1: RFID Pilot
